most_streamed_game,streamer_count,avg_viewers
"NBA 2K22",1,211701.0
"Special Events",3,113156.0
"FIFA 21",3,73795.33
Chess,5,71906.0
"Destiny 2",7,62148.86
"Rocket League",7,56851.57
Overwatch,14,56038.43
"F1 2019",1,42554.0
"World of Warcraft",18,40071.0
"League of Legends",84,37957.61
"Dungeons & Dragons",1,37121.0
"Yu-Gi-Oh! Duel Links",1,34434.0
Fortnite,35,33149.2
Music,5,32878.6
"Tekken 7",3,30590.33
GeoGuessr,1,30484.0
"Magic: The Gathering",2,30380.0
Variety,4,29742.25
"PUBG: BATTLEGROUNDS",12,29630.58
Counter-Strike,31,29185.48
Minecraft,24,27612.13
"Dark Souls",1,25834.0
Poker,2,25630.5
"Path of Exile",5,25589.2
"Dota 2",35,24849.46
Brawlhalla,1,23674.0
"Heroes of Might and Magic III: The Restoration of Erathia",1,20779.0
"Street Fighter V",2,20296.5
"NBA 2K19",1,20081.0
"Tom Clancy's Rainbow Six Siege",8,19768.63
"FINAL FANTASY XIV ONLINE",2,19557.5
"Brawl Stars",3,19274.33
Valorant,3,19253.0
Hearthstone,14,18357.21
"World of Tanks",4,18200.5
ASMR,1,17286.0
Warframe,2,16920.5
"Call of Duty: Warzone",20,16285.35
"Just Chatting",257,15975.58
"Warcraft III",1,15279.0
"Talk Shows & Podcasts",3,14811.0
"FIFA 19",2,14373.0
"Madden NFL 21",1,14111.0
"Team Fortress 2",1,13884.0
"World of Warships",1,13862.0
"Super Smash Bros. Ultimate",2,13703.5
"Apex Legends",21,13558.67
"Old School RuneScape",1,13143.0
"Super Auto Pets",1,13005.0
"Grand Theft Auto V",74,12817.78
Art,2,12803.5
"Escape from Tarkov",15,12007.67
"Games + Demos",1,11536.0
"Super Mario Odyssey",1,11469.0
"Teamfight Tactics",10,11405.7
VALORANT,60,11176.93
Rust,2,9892.5
"EA Sports FC 24",2,9515.5
"DARK SOULS III",1,8904.0
"Diablo III",4,8667.25
DayZ,2,8511.5
"Dead by Daylight",9,8019.78
"Sekiro: Shadows Die Twice",1,7090.0
IRL,1,6400.0
"Pokemon FireRed/LeafGreen",1,6269.0
"ELDEN RING",2,6192.5
"FIFA 23",9,5830.11
"Star Citizen",1,5800.0
"Among Us",2,5758.0
Sports,14,5566.21
"Garena Free Fire",2,4866.5
"Resident Evil 3: Nemesis",1,4783.0
"Albion Online",2,4770.0
"Call of Duty: Modern Warfare II",1,4716.0
"FIFA 22",3,4629.67
"Software and Game Development",1,4460.0
"Super Mario World",1,4404.0
"Genshin Impact",4,4331.75
"Ashes of Creation",1,4090.0
"The Binding of Isaac: Repentance",2,3693.5
"Sea of Thieves",1,3659.0
"Halo Infinite",1,3400.0
"The Sims 4",2,3332.0
Phasmophobia,1,3286.0
Trackmania,5,2893.2
"Super Mario 64",3,2733.0
"Pokemon Pinball",1,2585.0
iRacing,1,2316.0
ROBLOX,2,2305.0
"Fitness & Health",1,2190.0
"Animals Aquariums and Zoos",2,2020.0
"Knight Online",2,1982.5
RimWorld,1,1671.0
"Street Fighter 6",10,1623.0
RuneScape,1,766.0
Slots,9,640.0
"Virtual Casino",23,51.3
"Marvel Snap",1,40.0
"War Thunder",1,0.0
"Overwatch 2",1,0.0
"NBA 2K23",1,0.0
"Madden NFL 24",1,0.0
MORDHAU,1,0.0
"Honkai: Star Rail",1,0.0
Casino,36,0.0
